rank,score,match_id,completed,outcome,impostor,deadCrewCount,inputCount,entryCount,seed
1,4,"match_1772700517936_e88780922a3158",true,"defeat","Pilot",0,6,6,"default"
2,4,"match_1772700583319_8a11a5cb50b27",true,"defeat","Pilot",0,6,6,"default"
